city,brand,model,year,price,detail_url,km,motor,ano,tipo,combustible,color,transmision,puertas
SANTA,CRUZ,Chevrolet Captiva,2021,"$30,000",https://www.autopia.com.bo/auto/hatchback-usados/chevrolet-captiva-2021-685183d4c90185273f3dc1c9,50.000,1.5 Lt.,2021,Hatchback,Gasolina,Blanco,Mecánico,5
COCHABAMBA,GAC,GS3,2020,"$23,500",https://www.autopia.com.bo/auto/suv-usados/gac-gs3-2020-685087c83370f83f520ed1e4,39.000,1.5 Lt.,2020,SUV,Gasolina,Rojo,Automático,5
COCHABAMBA,Nissan,Kicks,2024,"$46,000",https://www.autopia.com.bo/auto/suv-usados/nissan-kicks-2024-68508635c015a9396c293a87,13.000,1.6 Lt.,2024,SUV,Gasolina,Plomo,Automático,5
LA,PAZ,KIA Sonet,2025,"$55,500",https://www.autopia.com.bo/auto/suv-usados/kia-sonet-2025-6850597c8a6e1734252b8de6,5.300,1.5 Lt.,2025,SUV,Gasolina,Rojo Con Techo Negro,Automático,5
SANTA,CRUZ,KIA Seltos,2026,"$55,000",https://www.autopia.com.bo/auto/citycar-usados/kia-seltos-2026-68503cdbd7013c05574c54a5,650,1.5 Lt.,2026,CityCar,Gasolina,Blanco,Automático,5
SANTA,CRUZ,Mitsubishi L-200,1998,"$105,000",https://www.autopia.com.bo/auto/camioneta-usados/mitsubishi-l-200-1998-684e32d6eaf9cf282b781203,100,2.4 Lt.,1998,Camioneta,Gasolina,Blanco,Mecánico,4
COCHABAMBA,Renault,Logan,2021,"$22,000",https://www.autopia.com.bo/auto/sedan-usados/renault-logan-2021-684ddf78361fa5582a0a7324,66.000,1.6 Lt.,2021,Sedán,Gasolina,Gris,Mecánico,5
LA,PAZ,Nissan Murano,2022,"$45,000",https://www.autopia.com.bo/auto/suv-usados/nissan-murano-2022-684c3d1eb65be155b119ec04,13.000,3.5 Lt.,2022,SUV,Gasolina,Negro,Automático,5
LA,PAZ,Mitsubishi Montero,2001,"$11,000",https://www.autopia.com.bo/auto/hatchback-usados/mitsubishi-montero-2001-684b1326fe9464501c6441a6,198.000,3.0 Lt.,2001,Hatchback,Gasolina,Verde Oscuro,Automático,5
SANTA,CRUZ,Renault Koleos,2017,"$32,000",https://www.autopia.com.bo/auto/suv-usados/renault-koleos-2017-684b08789c457000ed737856,68.643,2.5 Lt.,2017,SUV,Gasolina,Negro,Automático,5
LA,PAZ,Toyota Rush,2020,"$47,800",https://www.autopia.com.bo/auto/suv-usados/toyota-rush-2020-684b04b09c457000ed737855,9.000,1.5 Lt.,2020,SUV,Gasolina,Cafe,Automático,5
COCHABAMBA,Nissan,New Pathfinder,2016,"$35,000",https://www.autopia.com.bo/auto/suv-usados/nissan-new-pathfinder-2016-684af0746031485d750d3425,94.000,3.5 Lt.,2016,SUV,Gasolina,Azul,Automático,5
SANTA,CRUZ,Suzuki S-cross,2025,"$46,499",https://www.autopia.com.bo/auto/suv-usados/suzuki-s-cross-2025-68499d277b88d87e4d1c4a84,3.600,1.5 Lt.,2025,SUV,Gasolina,Gris,Automático,5
COCHABAMBA,Suzuki,Celerio,2015,"$16,900",https://www.autopia.com.bo/auto/citycar-usados/suzuki-celerio-2015-6848437019940746d55a6154,79.900,1.0 Lt.,2015,CityCar,Gasolina,Rojo,Mecánico,4
COCHABAMBA,Suzuki,Alto,2016,"$13,700",https://www.autopia.com.bo/auto/citycar-usados/suzuki-alto-2016-6845c129957bc770d1742f93,83.000,1.0 Lt.,2016,CityCar,Gasolina,Gris,Mecánico,5
SANTA,CRUZ,Nissan Frontier,2023,"$76,500",https://www.autopia.com.bo/auto/camioneta-usados/nissan-frontier-2023-68439b29e5f3c90e7d2f6468,38.000,2.5 Lt.,2023,Camioneta,Gasolina,Gris Volcanico,Automático,4
LA,PAZ,Suzuki Celerio,2021,"$19,900",https://www.autopia.com.bo/auto/citycar-usados/suzuki-celerio-2021-6843744bfc73b6668d00dd75,40.000,1.0 Lt.,2021,CityCar,Gasolina,Blanco Perlado,Mecánico,5
LA,PAZ,Nissan March,2022,"$24,500",https://www.autopia.com.bo/auto/citycar-usados/nissan-march-2022-6841b7a0f0194b557d31fb06,25.500,1.6 Lt.,2022,CityCar,Gasolina,Blanco,Mecánico,5
COCHABAMBA,Changan,Cs-55,2024,"$46,000",https://www.autopia.com.bo/auto/suv-usados/changan-cs-55-2024-683dc2c9202416151915ba07,4.850,1.5 Lt.,2024,SUV,Gasolina,Blanco,Automático,4
COCHABAMBA,Suzuki,Grand Vitara,2024,"$46,000",https://www.autopia.com.bo/auto/suv-usados/suzuki-grand-vitara-2024-683dc0e773c3d657cf62e423,930,1.5 Lt.,2024,SUV,Alternativo,Gris,Automático,4
COCHABAMBA,Changan,Cs35,2021,"$26,000",https://www.autopia.com.bo/auto/suv-usados/changan-cs35-2021-6839c10b36a257341f78f6d4,57.100,1.4 Lt.,2021,SUV,Gasolina,Rojo,Mecánico,5
LA,PAZ,Nissan Sentra,1998,"$7,600",https://www.autopia.com.bo/auto/sedan-usados/nissan-sentra-1998-6839bd080efd433c23100df4,100.000,1.5 Lt.,1998,Sedán,Gasolina,Blanco,Automático,4
SANTA,CRUZ,Honda Ridgeline,2022,"$43,000",https://www.autopia.com.bo/auto/camioneta-usados/honda-ridgeline-2022-68384aab74ce531c9c55ea04,47.000,3.5 Lt.,2022,Camioneta,Gasolina,Blanco,Automático,5
SANTA,CRUZ,Hyundai Galloper,2000,"$77,000",https://www.autopia.com.bo/auto/camioneta-usados/hyundai-galloper-2000-683736eacc72813bdd0992c3,80.000,2.5 Lt.,2000,Camioneta,Diesel,Celeste,Mecánico,5
SANTA,CRUZ,Nissan Frontier,2024,"$79,900",https://www.autopia.com.bo/auto/camioneta-usados/nissan-frontier-2024-683551d2fc51e21cca461bc5,21.000,2.5 Lt.,2024,Camioneta,Gasolina,Gris Oscuro,Automático,4
SANTA,CRUZ,Suzuki Dzire Sedan,2015,"$18,500",https://www.autopia.com.bo/auto/sedan-usados/suzuki-dzire-sedan-2015-68355000775c0c0cf34474d4,150,1.2 Lt.,2015,Sedán,Gasolina,Blanco Perla,Automático,4
SANTA,CRUZ,Renault Koleos,2013,"$15,800",https://www.autopia.com.bo/auto/suv-usados/renault-koleos-2013-68311295e2ba064c9b65e0f7,237.000,2.4 Lt.,2013,SUV,Gasolina,Blanco Perla,Automático,4
SANTA,CRUZ,Mazda Cx-5,2023,"$62,500",https://www.autopia.com.bo/auto/suv-usados/mazda-cx-5-2023-682f84b215b5e73d6141b4fc,39.443,2.0 Lt.,2023,SUV,Gasolina,Blanco,Automático,5
COCHABAMBA,Ford,Expedition,2010,"$28,600",https://www.autopia.com.bo/auto/suv-usados/ford-expedition-2010-682cc501ea16fb4fd3367ab4,97.000,5.7 Lt.,2010,SUV,Gasolina,Rojo,Automático,5
LA,PAZ,Toyota Tacoma,2020,"$55,000",https://www.autopia.com.bo/auto/camioneta-usados/toyota-tacoma-2020-682cb366350aa404e667d783,60.000,3.5 Lt.,2020,Camioneta,Gasolina,Negro,Automático,4
COCHABAMBA,Jeep,Wrangler,2015,"$35,000",https://www.autopia.com.bo/auto/suv-usados/jeep-wrangler-2015-682c7e86f85b056a547166e6,47.486,3.6 Lt.,2015,SUV,Gasolina,Rojo,Mecánico,3
SANTA,CRUZ,Mercedes Benz GLK,2012,"$20,000",https://www.autopia.com.bo/auto/suv-usados/mercedes-benz-glk-2012-682a98c54652fc0a7a7da4a9,100.000,3.5 Lt.,2012,SUV,Gasolina,Plateado,Automático,5
COCHABAMBA,KIA,Sportage,2015,"$20,000",https://www.autopia.com.bo/auto/suv-usados/kia-sportage-2015-682a06a7904383775314f874,82.500,2.4 Lt.,2015,SUV,Gasolina,Gris,Automático,5
SANTA,CRUZ,Nissan Urvan,1991,"$9,800",https://www.autopia.com.bo/auto/furgon-usados/nissan-urvan-1991-68254253b9ca817b5f0cdf33,10.000,2.5 Lt.,1991,Furgón,Gasolina,Rojo,Mecánico,3
COCHABAMBA,Ford,Ecosport,2011,"$15,500",https://www.autopia.com.bo/auto/suv-usados/ford-ecosport-2011-6824fe5b1769027b22632c14,155.000,1.6 Lt.,2011,SUV,Gasolina,Blanco,Mecánico,5
SANTA,CRUZ,Changan Cs35,2024,"$30,000",https://www.autopia.com.bo/auto/suv-usados/changan-cs35-2024-6824bf363c0aeb42281f5d13,19.200,1.5 Lt.,2024,SUV,Gasolina,Gris,Automático,5
LA,PAZ,Caio Millenium III,2003,"$15,000",https://www.autopia.com.bo/auto/suv-usados/caio-millenium-iii-2003-6822a1bc55b6a128f96c7f65,560.000,1.0 Lt.,2003,SUV,Gasolina,Red,Automático,4
COCHABAMBA,Chevrolet,Tracker,2023,"$200,000",https://www.autopia.com.bo/auto/suv-usados/chevrolet-tracker-2023-682276bba509aa534e46f767,29.000,1.2 Lt.,2023,SUV,Gasolina,Gris Oscuro,Mecánico,5
SANTA,CRUZ,Suzuki Alto,2025,"$23,500",https://www.autopia.com.bo/auto/hatchback-usados/suzuki-alto-2025-681e61c3978338602b066e57,10.396,1.0 Lt.,2025,Hatchback,Gasolina,Plata,Mecánico,5
LA,PAZ,Ford Explorer,2017,"$37,000",https://www.autopia.com.bo/auto/suv-usados/ford-explorer-2017-681e520a1a050721a8482187,61.300,3.5 Lt.,2017,SUV,Gasolina,Blanco Perlado,Automático,5
LA,PAZ,Suzuki S-presso,2025,"$19,800",https://www.autopia.com.bo/auto/citycar-usados/suzuki-s-presso-2025-681e3de1e732b0701428ffa4,3.100,1.0 Lt.,2025,CityCar,Gasolina,Rojo,Mecánico,5
SANTA,CRUZ,Nissan Frontier,2025,"$86,000",https://www.autopia.com.bo/auto/camioneta-usados/nissan-frontier-2025-68141402f731bd28c9407558,2.000,2.5 Lt.,2025,Camioneta,Gasolina,Blanco,Automático,4
SANTA,CRUZ,Nissan Frontier,2025,"$86,000",https://www.autopia.com.bo/auto/camioneta-usados/nissan-frontier-2025-680eb9d414f039745c681ce4,2.700,2.5 Lt.,2025,Camioneta,Gasolina,Gris Volcanico,Automático,4
COCHABAMBA,Mercedes,Benz E,2006,"$12,900",https://www.autopia.com.bo/auto/sedan-usados/mercedes-benz-e-2006-680d7650f4381f3c2e24ef16,150.000,3.2 Lt.,2006,Sedán,Gasolina,Champagne,Automático,4
LA,PAZ,Peugeot 3008,2023,"$35,000",https://www.autopia.com.bo/auto/suv-usados/peugeot-3008-2023-680bd9df9fc46d67d001ea97,12.000,,2023,SUV,Gasolina,Gris,Automático,4
SANTA,CRUZ,Ssangyong XLV,2017,"$14,600",https://www.autopia.com.bo/auto/suv-usados/ssangyong-xlv-2017-6808194b7e52421e5172e297,90.000,1.6 Lt.,2017,SUV,Gasolina,Blanco,Automático,5
SANTA,CRUZ,KIA Sportage,2024,"$86,000",https://www.autopia.com.bo/auto/suv-usados/kia-sportage-2024-6803ea4fa97ac725494c3314,26.000,2.0 Lt.,2024,SUV,Gasolina,Blanco,Automático,4
