[2025-06-01T16:37:08.669+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: scraping_autopia_dag.scrapear_datos_autopia manual__2025-06-01T16:37:04.718659+00:00 [queued]>
[2025-06-01T16:37:08.722+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: scraping_autopia_dag.scrapear_datos_autopia manual__2025-06-01T16:37:04.718659+00:00 [queued]>
[2025-06-01T16:37:08.724+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 1
[2025-06-01T16:37:08.790+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): scrapear_datos_autopia> on 2025-06-01 16:37:04.718659+00:00
[2025-06-01T16:37:08.813+0000] {standard_task_runner.py:60} INFO - Started process 230 to run task
[2025-06-01T16:37:08.828+0000] {standard_task_runner.py:87} INFO - Running: ['***', 'tasks', 'run', 'scraping_autopia_dag', 'scrapear_datos_autopia', 'manual__2025-06-01T16:37:04.718659+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/scraping_autopia_dag.py', '--cfg-path', '/tmp/tmpy_w5wt78']
[2025-06-01T16:37:08.838+0000] {standard_task_runner.py:88} INFO - Job 12: Subtask scrapear_datos_autopia
[2025-06-01T16:37:09.020+0000] {task_command.py:423} INFO - Running <TaskInstance: scraping_autopia_dag.scrapear_datos_autopia manual__2025-06-01T16:37:04.718659+00:00 [running]> on host f142218a01ee
[2025-06-01T16:37:09.251+0000] {taskinstance.py:2480} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='scraping_autopia_dag' AIRFLOW_CTX_TASK_ID='scrapear_datos_autopia' AIRFLOW_CTX_EXECUTION_DATE='2025-06-01T16:37:04.718659+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-06-01T16:37:04.718659+00:00'
[2025-06-01T16:37:16.145+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:17.869+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:19.542+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:21.206+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:22.837+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:24.456+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:26.095+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:27.727+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:29.353+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:30.963+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:32.555+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:34.217+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:35.833+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:37.491+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:39.113+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:40.746+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:42.380+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:43.993+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:45.614+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:47.247+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:48.917+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:50.530+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:52.146+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:53.761+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:55.396+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:56.996+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:37:59.122+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:00.682+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:02.244+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:03.845+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:05.457+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:07.075+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:08.697+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:10.330+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
[2025-06-01T16:38:11.950+0000] {logging_mixin.py:188} INFO - 🔁 Clic en 'Cargar más'
